"","token"
"693","而言"
"694","能"
"695","能否"
"696","腾"
"697","自"
"698","自个儿"
"699","自从"
"700","自各儿"
"701","自后"
"702","自家"
"703","自己"
"704","自打"
"705","自身"
"706","至"
"707","至于"
"708","至今"
"709","至若"
"710","致"
"711","般的"
"712","若"
"713","若夫"
"714","若是"
"715","若果"
"716","若非"
"717","莫不然"
"718","莫如"
"719","莫若"
"720","虽"
"721","虽则"
"722","虽然"
"723","虽说"
"724","被"
"725","要"
"726","要不"
"727","要不是"
"728","要不然"
"729","要么"
"730","要是"
"731","譬喻"
"732","譬如"
"733","让"
"734","许多"
"735","论"
"736","设使"
"737","设或"
"738","设若"
"739","诚如"
"740","诚然"
"741","该"
"742","说"
"743","说来"
"744","请"
"745","诸"
"746","诸位"
"747","诸如"
"748","谁"
"749","谁人"
"750","谁料"
"751","谁知"
"752","贼死"
"753","赖以"
"754","赶"
"755","起"
"756","起见"
"757","趁"
"758","趁着"
"759","越是"
"760","距"
"761","跟"
"762","较"
"763","较之"
"764","边"
"765","过"
"766","还"
"767","还是"
"768","还有"
"769","还要"
"770","这"
"771","这一来"
"772","这个"
"773","这么"
"774","这么些"
"775","这么样"
"776","这么点儿"
"777","这些"
"778","这会儿"
"779","这儿"
"780","这就是说"
"781","这时"
"782","这样"
"783","这次"
"784","这般"
"785","这边"
"786","这里"
"787","进而"
"788","连"
"789","连同"
"790","逐步"
"791","通过"
"792","遵循"
"793","遵照"
"794","那"
"795","那个"
"796","那么"
"797","那么些"
"798","那么样"
"799","那些"
"800","那会儿"
"801","那儿"
"802","那时"
"803","那样"
"804","那般"
"805","那边"
"806","那里"
"807","都"
"808","鄙人"
"809","鉴于"
"810","针对"
"811","阿"
"812","除"
"813","除了"
"814","除外"
"815","除开"
"816","除此之外"
"817","除非"
"818","随"
"819","随后"
"820","随时"
"821","随着"
"822","难道说"
"824","非"
"825","非但"
"826","非徒"
"827","非特"
"828","非独"
"829","靠"
"830","顺"
"831","顺着"
"832","首先"
"833","︿"
"834","！"
"835","＃"
"836","＄"
"837","％"
"838","＆"
"839","（"
"840","）"
"841","＊"
"842","＋"
"843","，"
"844","０"
"845","１"
"846","２"
"847","３"
"848","４"
"849","５"
"850","６"
"851","７"
"852","８"
"853","９"
"854","："
"855","；"
"856","＜"
"857","＞"
"858","？"
"859","＠"
"860","［"
"861","］"
"862","｛"
"863","｜"
"864","｝"
"865","～"
"866","￥"
"867","把我"
"868","對我"
"869","我自己"
"870","我們"
"871","把我們"
"872","對我們"
"873","我們自己"
"874","把你"
"875","對你"
"876","你自己"
"877","你們"
"878","把你們"
"879","對你們"
"880","你們自己"
"881","把您"
"882","對您"
"883","您自己"
"884","您們"
"885","把您們"
"886","對您們"
"887","您們自己"
"888","把他"
"889","對他"
"890","他自己"
"891","把她"
"892","對她"
"893","她自己"
"894","牠"
"895","把牠"
"896","對牠"
"897","牠自己"
"898","把它"
"899","對它"
"900","它自己"
"901","這"
"902","這些"
"903","該"
"904","這個"
"905","這麼"
"906","這樣"
"907","這是"
"908","我的"
"909","我們的"
"910","你的"
"911","你們的"
"912","他的"
"913","她的"
"914","牠的"
"915","它的"
"916","他們的"
"917","甚麼"
"918","什麼"
"919","哪一"
"920","那一"
"921","哪一個"
"922","那一個"
"923","哪個"
"924","那個"
"925","誰"
"926","誰人"
"927","誰人的"
"928","哪時"
"929","那時"
"930","何時"
"931","幾時"
"932","哪裡"
"933","那裡"
"934","哪裏"
"935","那裏"
"936","哪兒"
"937","那兒"
"938","為何"
"939","怎樣"
"940","何方"
"941","擁有"
"942","確有"
"943","可能"
"944","應該"
"945","將會"
"946","或能"
"947","未必"
"948","似乎"
"949","說"
"950","表示"
"951","講"
"952","提出"
"953","透露"
"954","陳述"
"955","講述"
"956","報道"
"957","報導"
"958","報告"
"959","匯報"
"960","與"
"961","兼"
"962","並"
"963","不過"
"964","還是"
"965","換言之"
"966","換句話說"
"967","當時"
"968","也沒有"
"969","也不"
"970","因為"
"971","由於"
"972","那樣"
"973","那麼"
"974","同樣地"
"975","大概"
"976","都很"
"977","直至"
"978","迄"
"979","曾經"
"980","一度"
"981","以前"
"982","從前"
"983","這地"
"984","這處"
"985","這地方"
"986","這個地方"
"987","那地"
"988","那處"
"989","那地方"
"990","那個地方"
"991","完全"
"992","每一"
"993","皆"
"994","兩者都"
"995","均"
"996","個別"
"997","少量"
"998","少數"
"999","少"
"1000","多數"
"1001","大量"
"1002","更多"
"1003","更大量"
"1004","最多"
"1005","大多數"
"1006","大部份"
"1007","極"
"1008","極其"
"1009","幾乎"
"1010","若干"
"1011","部份"
"1012","其餘"
"1013","剩餘"
"1014","固此"
"1015","否"
"1016","沒"
"1017","那末"
"1018","然後"
"1019","太"
"1020","過於"
"1021","非常"
"1022","頗"
"1023","屬於"
"1024","於"
"1025","屬"
"1026","之中"
"1027","之內"
"1028","入"
"1029","內"
"1030","裡面"
"1031","裏面"
"1032","給"
"1033","為了"
"1034","為"
"1035","作為"
"1036","跟隨"
"1037","關於"
"1038","對於"
"1039","至於"
"1040","反對"
"1041","對立"
"1042","倚"
"1043","有關"
"1044","涉及"
"1045","之間"
"1046","中間"
"1047","期間"
"1048","進入"
"1049","成為"
"1050","轉為"
"1051","朝著"
"1052","通過"
"1053","穿越"
"1054","透過"
"1055","經"
"1056","前"
"1057","之前"
"1058","後"
"1059","之後"
"1060","其後"
"1061","之上"
"1062","其上"
"1063","之下"
"1064","其下"
"1065","向上"
"1066","向下"
"1067","在上"
"1068","往上"
"1069","往下"
"1070","之外"
"1071","其外"
"1072","處於"
"1073","離"
"1074","遠離"
"1075","掉"
"1076","去掉"
"1077","除掉"
"1078","靠近"
"1079","覆蓋"
"1080","過"
"1081","從"
"1082","多於"
"1083","超過"
"1084","高於"
"1085","根據"
"1086","受"
"1087","外"
"1088","始於"
"1089","以防"
"1090","前往"
"1091","對著"
"1092","對着"
"1093","對"
"1094","差"
"1095","令"
"1096","又一"
"1097","再一次"
"1098","復"
"1099","屢"
"1100","進一步"
"1101","自己的"
"1102","獨立地"
"1103","獨立的"
"1104","本人的"
"1105","相同"
"1106","同樣"
"1107","相同的"
"1108","同樣的"
"1109","時"
"1110","年代"
"1111","年份"
"1112","年度"
"1113","世紀"
"1114","早上"
"1115","上午"
"1116","晚上"
"1117","下午"
"1118","中午"
"1119","一月"
"1120","二月"
"1121","三月"
"1122","四月"
"1123","五月"
"1124","六月"
"1125","七月"
"1126","八月"
"1127","九月"
"1128","十月"
"1129","十一月"
"1130","十二月"
"1131","星期一"
"1132","周一"
"1133","星期二"
"1134","周二"
"1135","星期三"
"1136","周三"
"1137","星期四"
"1138","周四"
"1139","星期五"
"1140","周五"
"1141","星期六"
"1142","周六"
"1143","星期日"
"1144","周日"
"1146","然"
"1147","料"
"1148","特"
"1149","方"
"1150","般"
"1151","间"
"1152","处"
"1153","开"
"1154","诚"
"1155","叮"
"1156","况"
"1157","独"
"1158","徒"
"1159","具体"
"1160","齐"
"1161","光"
"1162","曰"
"1163","换"
"1164","言"
"1165","继"
"1166","介"
"1167","竟"
"1168","紧"
"1169","傥"
"1170","类"
"1171","赖"
"1172","莫"
"1173","漫"
"1174","慢"
"1175","天"
"1176","样"
"1177","难道"
"1178","见"
"1179","岂"
"1180","悉"
"1181","甚"
"1182","孰"
"1183","始"
"1184","设"
"1185","知"
"1186","庶"
"1187","点儿"
"1188","惟"
"1189","先"
"1190","相对"
"1191","转眼"
"1192","余"
"1193","罢"
"1194","犹"
"1195","个儿"
"1196","奈"
"1197","办"
"1198","总"
"1199","综"
"1200","所述"
"1201","贼"
"1202","死"
"1203","毋"
"1204","登"
"1205","啷"
"1206","唷"
"1207","呼"
"1208","哒"
